post|after
conventus|meeting
ille|that
cum|with
doctus|learned
pulcher|beautiful
puella|girl
domus|house
advenire|arrive
et|and
adhuc|still
mirari|marvel at
eius|his/hers/its
eruditio|erudition
pulchritudo|beauty
novus|new
amor|love
ut|as
videri|seem
incendere|inflame
inflammare|inflame
se|reflexive 3rd person pronoun
hora|hour
secundus|second
quintus|fifth
ante|before
museum|museum
adesse|be present
debere|ought
si|if
ad tempus|on time
velim|would like
exire|exit
hic|this
ego|I
valde|strongly
placere|be pleasing
noster|our
primus|first
sero|late
nullo modo|in no way
sed|but
tam|so
multus|many
faciendus|must be done
unde|whence
incipere|begin
primum omnium|first of all
lavari|wash oneself
nam|for
hodie|today
mane|morning
lautus|from lavare, to wash
universitas|university
ad|to
properare|hasten
ala|armpit
rancidus|rancid
olere|stink
blaneum pluvium|shower
latinus|latin
scire|know
quam|how
bene|well
litterae|letters
loqui|speak
Novum Eboracum|New York
neglegere|neglect
neque|nor
iacere|lie (neglected)
ars|art
liberalis|liberal
re vera|in truth
vigere|be vigorous
femina|woman
tramen|train
invenire|find
posse|is able
qui|who
bonae artes|liberal arts
studium|zeal, study
perfectus|perfect
